"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Mike Strachan","IND","4.8","54.1","0.4","0.0","0.0","0.0","0.0","7.7"
"Miles Boykin","PIT","4.8","55.5","0.3","0.0","0.0","0.0","0.0","7.3"
"Ray-Ray McCloud","SF","5.7","55.8","0.3","0.0","0.0","0.0","0.0","7.3"
"Josh Gordon","KC","3.4","48.1","0.4","0.0","0.0","0.0","0.0","7.2"
"Penny Hart","SEA","4.8","56.4","0.3","0.0","0.0","0.0","0.0","7.1"
"Jaelon Darden","TB","3.8","45.3","0.4","0.0","0.0","0.0","0.0","6.6"
"Cyril Grayson Jr.","TB","3.8","47.1","0.3","0.0","0.0","0.0","0.0","6.6"
"Marquez Stevenson","BUF","3.5","39.9","0.4","0.0","0.0","0.0","0.0","6.0"
"Brandon Powell","LAR","3.6","40.7","0.3","0.0","0.0","0.0","0.0","6.0"
"Jalen Nailor","MIN","3.4","39.2","0.3","0.0","0.0","0.0","0.0","5.6"
"Andy Isabella","ARI","3.3","41.0","0.3","0.0","0.0","0.0","0.0","5.6"
"Stanley Morgan Jr.","CIN","3.1","39.1","0.3","0.0","0.0","0.0","0.0","5.5"
"Cam Sims","WAS","3.1","38.7","0.3","0.0","0.0","0.0","0.0","5.3"
"Kawaan Baker","NO","3.1","36.9","0.3","0.0","0.0","0.0","0.0","5.1"
"Shi Smith","CAR","3.4","38.6","0.2","0.0","0.0","0.0","0.0","4.8"
"Frank Darby","ATL","3.1","36.5","0.2","0.0","0.0","0.0","0.0","4.8"
"Isaiah Coulter","CHI","3.0","36.1","0.2","0.0","0.0","0.0","0.0","4.6"
"Mack Hollins","LV","1.5","20.2","0.2","0.0","0.0","0.0","0.0","3.1"
"Preston Williams","MIA","1.5","19.2","0.2","0.0","0.0","0.0","0.0","3.1"
"Jason Moore Jr.","LAC","1.7","21.0","0.2","0.0","0.0","0.0","0.0","3.0"
"Seth Williams","DEN","1.7","19.3","0.2","0.0","0.0","0.0","0.0","2.9"
"Dax Milne","WAS","1.6","17.8","0.1","0.0","0.0","0.0","0.0","2.5"
"Matt Cole","SEA","1.7","18.6","0.1","0.0","0.0","0.0","0.0","2.4"
"Dezmon Patmon","IND","1.5","17.9","0.1","0.0","0.0","0.0","0.0","2.4"
"Jeff Smith","NYJ","1.5","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Ty Montgomery","NE","1.7","17.8","0.1","0.0","0.0","0.0","0.0","2.4"
"Greg Ward","PHI","1.5","13.2","0.1","0.0","0.0","0.0","0.0","2.1"
""
""
