,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
114,Jake Funk,LAR,RB,20.1,85.5,0.7,2.1,15.3,0.1,0.1,0.0,0.0,0,0.0,0.0
115,Kene Nwangwu,MIN,RB,16.8,72.6,0.6,4.3,30.6,0.2,0.1,0.0,0.0,0,0.0,0.0
116,Kevin Harris,NE,RB,19.6,79.2,0.6,3.0,24.2,0.0,0.0,0.0,0.0,0,0.0,0.0
117,Keaontay Ingram,ARI,RB,19.0,73.3,0.6,3.0,26.9,0.0,0.0,0.0,0.0,0,0.0,0.0
118,Jerome Ford,CLE,RB,17.0,81.7,0.5,2.0,18.5,0.0,0.0,0.0,0.0,0,0.0,0.0
119,Anthony McFarland Jr.,PIT,RB,19.0,79.7,0.5,2.0,14.3,0.1,0.1,0.0,0.0,0,0.0,0.0
120,Qadree Ollison,ATL,RB,14.7,60.9,0.4,3.7,25.5,0.1,0.1,0.0,0.0,0,0.0,0.0
121,Keith Smith,ATL,RB,7.7,32.0,0.2,8.0,57.6,0.3,0.1,0.0,0.0,0,0.0,0.0
122,Justice Hill,BAL,RB,9.3,39.7,0.3,5.8,43.1,0.2,0.1,0.0,0.0,0,0.0,0.0
123,DeeJay Dallas,SEA,RB,11.2,47.0,0.4,6.3,39.7,0.1,0.1,0.0,0.0,0,0.0,0.0
124,Godwin Igwebuike,DET,RB,11.9,52.4,0.4,3.9,28.7,0.1,0.1,0.0,0.0,0,0.0,0.0
125,Jason Huntley,PHI,RB,12.9,55.0,0.4,3.5,24.2,0.1,0.1,0.0,0.0,0,0.0,0.0
126,Salvon Ahmed,MIA,RB,11.3,47.4,0.3,4.1,30.9,0.2,0.0,0.0,0.0,0,0.0,0.0
127,JaQuan Hardy,DAL,RB,12.6,54.5,0.5,2.2,16.1,0.1,0.1,0.0,0.0,0,0.0,0.0
128,Kylin Hill,GB,RB,11.4,49.2,0.3,2.0,14.9,0.1,0.1,0.0,0.0,0,0.0,0.0
129,C.J. Ham,MIN,RB,0.0,0.0,0.0,8.6,63.2,0.4,0.0,0.0,0.0,0,0.0,0.0
130,Dwayne Washington,NO,RB,8.4,36.4,0.2,3.7,27.0,0.1,0.0,0.0,0.0,0,0.0,0.0
131,Adam Prentice,NO,RB,4.4,18.8,0.1,3.9,29.7,0.3,0.0,0.0,0.0,0,0.0,0.0
132,Jakob Johnson,LV,RB,4.1,17.0,0.1,4.3,32.1,0.3,0.1,0.0,0.0,0,0.0,0.0
133,Trey Edmunds,PIT,RB,7.4,31.4,0.2,2.1,14.3,0.1,0.0,0.0,0.0,0,0.0,0.0
134,Jason Cabinda,DET,RB,2.1,9.1,0.1,4.1,31.2,0.2,0.0,0.0,0.0,0,0.0,0.0
135,Zack Moss,BUF,RB,7.5,30.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
136,Michael Burton,KC,RB,7.1,29.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
137,Giovanni Ricci,CAR,RB,0.0,0.0,0.0,4.3,31.9,0.3,0.0,0.0,0.0,0,0.0,0.0
138,Alec Ingold,MIA,RB,0.0,0.0,0.0,4.5,32.3,0.3,0.0,0.0,0.0,0,0.0,0.0
139,Reggie Gilliam,BUF,RB,0.0,0.0,0.0,4.4,32.5,0.2,0.0,0.0,0.0,0,0.0,0.0
140,Larry Rountree III,LAC,RB,4.1,17.0,0.2,2.2,15.4,0.1,0.0,0.0,0.0,0,0.0,0.0
141,Trenton Cannon,TEN,RB,4.5,19.1,0.1,1.9,14.5,0.1,0.0,0.0,0.0,0,0.0,0.0
142,Trevon Wesco,NYJ,RB,0.0,0.0,0.0,4.2,31.4,0.2,0.0,0.0,0.0,0,0.0,0.0
143,Patrick Taylor Jr.,GB,RB,3.8,16.3,0.1,2.1,14.8,0.1,0.0,0.0,0.0,0,0.0,0.0
144,Khari Blasingame,CHI,RB,0.0,0.0,0.0,4.0,29.6,0.2,0.0,0.0,0.0,0,0.0,0.0
145,Derek Watt,PIT,RB,0.0,0.0,0.0,4.3,30.8,0.2,0.0,0.0,0.0,0,0.0,0.0
146,Ryquell Armstead,JAC,RB,4.0,17.0,0.1,1.5,11.6,0.1,0.0,0.0,0.0,0,0.0,0.0
147,Trayveon Williams,CIN,RB,0.0,0.0,0.0,4.0,28.2,0.2,0.0,0.0,0.0,0,0.0,0.0
148,Gabe Nabers,LAC,RB,4.3,18.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
149,Ty Chandler,MIN,RB,4.0,16.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
